SubjID,SmlSeq,SmlK,SmlCons,SmlICR,MedSeq,MedK,MedCons,MedICR,LrgSeq,LrgK,LrgCons,LrgICR,GMK
s0159,505,0.001583251,1,0.333333333,505,0.001588988,1,0.333333333,505,0.001599001,1,0.333333333,0.0015904000276278907
s0160,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,481,0.00978133,1,0.555555556,0.01345472877351011
s0161,481,0.009704041,1,0.555555556,481,0.009740465,1,0.555555556,481,0.00978133,1,0.555555556,0.009741894186056553
s0162,257,0.159084963,1,0.888888889,481,0.009740465,1,0.555555556,449,0.025796554,1,0.666666667,0.03419192132618034
s0163,481,0.009704041,1,0.555555556,481,0.009740465,1,0.555555556,481,0.00978133,1,0.555555556,0.009741894186056553
s0164,449,0.025565085,1,0.666666667,497,0.003905918,1,0.444444444,505,0.001599001,1,0.333333333,0.005425082737736504
s0165,511,2.51196e-4,1,0.111111111,509,6.3193e-4,1,0.222222222,511,2.51015e-4,1,0.111111111,3.415548493827359e-4
s0166,505,0.001583251,1,0.333333333,505,0.001588988,1,0.333333333,505,0.001599001,1,0.333333333,0.0015904000276278907
s0167,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,497,0.003897476,1,0.444444444,0.00990079633485758
s0168,497,0.003859499,1,0.444444444,481,0.009740465,1,0.555555556,505,0.001599001,1,0.333333333,0.0039172965741989425
s0169,505,0.001583251,1,0.333333333,509,6.3193e-4,1,0.222222222,509,6.32011e-4,1,0.222222222,8.583171571346091e-4
s0170,449,0.025565085,1,0.666666667,449,0.025225065,1,0.666666667,481,0.00978133,1,0.555555556,0.01847675990484034
s0171,449,0.025565085,1,0.666666667,449,0.025225065,1,0.666666667,489,0.00395479,0.888888889,0.444444444,0.013662630424607775
s0172,505,0.001583251,1,0.333333333,509,6.3193e-4,1,0.222222222,511,2.51015e-4,1,0.111111111,6.309178378349672e-4
s0173,401,0.065125822,0.888888889,0.666666667,449,0.025225065,1,0.666666667,449,0.025796554,1,0.666666667,0.03486441659740516
s0174,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,481,0.00978133,1,0.555555556,0.01345472877351011
s0176,1,0.246753247,1,1,257,0.158113883,1,0.888888889,129,0.127129767,0.888888889,0.888888889,0.17054017744217878
s0177,497,0.003859499,1,0.444444444,505,0.001588988,1,0.333333333,509,6.32011e-4,1,0.222222222,0.001570816287617923
s0178,505,0.001583251,1,0.333333333,509,6.3193e-4,1,0.222222222,511,2.51015e-4,1,0.111111111,6.309178378349672e-4
s0179,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,489,0.00395479,0.888888889,0.444444444,0.00994909213750447
s0180,257,0.159084963,1,0.888888889,385,0.063690167,1,0.777777778,129,0.127129767,0.888888889,0.888888889,0.10880518456584712
s0181,385,0.065125822,1,0.777777778,1,0.25,1,1,385,0.064947206,1,0.777777778,0.10187897488481915
s0182,489,0.003919686,0.888888889,0.444444444,505,0.001588988,1,0.333333333,505,0.001599001,1,0.333333333,0.002151494351253325
s0183,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,497,0.003897476,1,0.444444444,0.00990079633485758
s0184,257,0.159084963,1,0.888888889,385,0.063690167,1,0.777777778,449,0.025796554,1,0.666666667,0.0639373165087494
s0185,505,0.001583251,1,0.333333333,505,0.001588988,1,0.333333333,509,6.32011e-4,1,0.222222222,0.0011671634396006377
s0186,509,6.32542e-4,1,0.222222222,512,1.58278e-4,1,0,511,2.51015e-4,1,0.111111111,0.00029291157358269873
s0187,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,497,0.003897476,1,0.444444444,0.00990079633485758
s0188,497,0.003859499,1,0.444444444,505,0.001588988,1,0.333333333,509,6.32011e-4,1,0.222222222,0.001570816287617923
s0189,419,0.025139285,0.777777778,0.555555556,457,0.025225065,0.888888889,0.555555556,449,0.025796554,1,0.666666667,0.02538530019622296
s0190,497,0.003859499,1,0.444444444,497,0.003905918,1,0.444444444,497,0.003897476,1,0.444444444,0.0038875784671527835
s0191,481,0.009704041,1,0.555555556,481,0.009740465,1,0.555555556,481,0.00978133,1,0.555555556,0.009741894186056553
s0192,257,0.159084963,1,0.888888889,1,0.25,1,1,193,0.025796554,0.888888889,0.777777778,0.10085798292183769
s0193,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,497,0.003897476,1,0.444444444,0.00990079633485758
