,NU,PU,PM,PS,SS,Attentional,Motor,Nonplanning,discount_logk,auc,std_wtw,auc_delta,alpha,alphaU,tau,gamma,eta
122,31.0,18.0,21.0,22.0,17.0,18.0,24.0,33.0,-4.6102739744363515,9.209074142981887,2.5583868762775497,-1.0843200738095442,0.0018618860747717,0.00379962937153625,5.726191548213325,0.8040369026902026,1.550514982560075
123,17.0,15.0,12.0,10.0,31.0,11.0,17.0,23.0,-2.2181962934360033,4.4982237227668325,2.203952235854001,1.3431300251003393,0.0081599278567081,0.0010859415071675,4.044264202466995,0.923134038187249,2.007495981982507
124,15.0,14.0,22.0,23.0,17.0,15.0,18.0,26.0,-2.2839696909079663,3.197334300551554,0.9797165029093193,1.0752712641840307,0.0473358244304745,0.0001849880650891,4.46788613057555,0.8538342881006189,0.46998587598071295
125,30.0,16.0,11.0,14.0,13.0,20.0,15.0,16.0,-6.141592631181374,6.316398915436512,2.088890530190699,1.264807616396432,0.012312186657578699,0.00070165450393335,5.566156966905715,0.9164763773078639,1.0865882462660639
126,25.0,29.0,22.0,20.0,23.0,17.0,16.0,28.0,-4.615140087212151,7.996473629882108,3.1185483087470063,0.3663113307712491,0.0030505902094251003,0.00152406394727405,4.0196862710673145,0.8066321290814825,3.114478217025495
127,24.0,14.0,19.0,20.0,26.0,12.0,19.0,23.0,-6.456159866318824,9.294018203103196,1.1632862255850929,3.1498128974344657,0.026787103412988948,0.0015006723704821,10.0769563409144,0.8367061341558566,0.963576003632401
128,25.0,21.0,24.0,19.0,29.0,15.0,26.0,29.0,-5.54996881720391,8.147413013662716,2.532494812689592,3.74932200785926,0.0097656311218201,0.0022763090810589,5.377118747556995,0.8936486679614035,4.415265315727095
129,18.0,16.0,18.0,16.0,15.0,11.0,18.0,31.0,-2.294041861325549,4.518876537259863,1.5888122959092295,0.4671551016610289,0.009830526768211851,0.00061905775719085,4.601854840496845,0.874764346423428,0.711876122866847
130,42.0,25.0,17.0,22.0,16.0,14.0,22.0,25.0,-4.938035139442151,4.498169144106053,1.04131563541677,-0.2692979904537367,0.0112849718137033,0.00046478497374570005,5.914833890506285,0.8110065560910711,0.5087981855249369
131,13.0,14.0,14.0,10.0,29.0,8.0,16.0,20.0,-4.302132460552128,7.6945178222296615,2.4622099989798154,2.367725846560746,0.0247290208250212,0.00662724294733335,6.243923643288975,0.895883783669166,1.196192963592487
