id,sess,key,block,auc,std_wtw,init_wtw,sell_RT_median,sell_RT_mean,sell_RT_se,condition,auc1,auc2,auc3,std_wtw1,std_wtw2,std_wtw3
s1208,2,"('s1208', 2)",2,7.621755448359032,1.5041164277660102,6.01,0.456,0.537595744680851,0.04037773949349217,HP,7.045511278195488,9.012707792207793,7.076218518518519,0.6516156048540761,1.9830390177158486,0.8823287035671833
s1209,2,"('s1209', 2)",1,4.186730698529412,0.9354441183825061,5.596,0.568,0.7474492753623189,0.07740124654216485,LP,5.141000000000001,3.99523,3.4871,0.8064719625106563,0.6408905968260104,0.43012845755657697
s1209,2,"('s1209', 2)",2,5.573422067363531,1.676281950394702,4.006,0.652,0.7891944444444445,0.08810771167819166,HP,4.553069890109891,5.93927922077922,6.799537414965986,1.3750652357571624,1.3752871238828668,1.6215176617945561
s1210,2,"('s1210', 2)",1,4.863396052631579,1.6560744066951623,7.46,0.4125,0.5911216216216219,0.0919697463370891,LP,6.0301785714285705,4.3979116541353385,4.075916666666666,2.173779465935987,0.7437537074919631,0.6941405067099568
s1210,2,"('s1210', 2)",2,3.5981521171875013,1.260413259790897,3.492,0.43,0.40771428571428564,0.02947075068220344,HP,3.610098970251717,4.356343208251043,3.150431549960662,1.0736954123973232,1.9331110909785152,1.3768883026412535
s1211,2,"('s1211', 2)",1,9.55076,0.9293965474435547,7.807,0.493,0.4975312499999999,0.012699789475025204,LP,9.43,9.861714285714285,9.4297,1.076337539993844,1.0174483088710158,0.6434247508450386
s1211,2,"('s1211', 2)",2,9.777458951187938,2.537041467886408,3.448,0.49,0.49386792452830186,0.01459094648352352,HP,8.667631578947368,11.39322222222222,9.762210526315789,3.280381688486976,0.9331299513855718,1.88722164427659
s1212,2,"('s1212', 2)",1,5.138460160121997,1.0838035460428574,6.889,0.3925,0.4040999999999999,0.014701036337202732,LP,6.4370666666666665,4.651539682539683,4.460857692307693,1.0856574945882131,0.2947212525069482,0.25124577099093315
s1212,2,"('s1212', 2)",2,7.637266927083332,1.321813766778464,5.679,0.441,0.43639999999999995,0.00881028579573155,HP,7.6428555023923455,8.280249999999999,7.057364814814815,1.4733760968134073,0.8883791068569769,1.2051641129457735
s1213,2,"('s1213', 2)",1,6.916603355746098,3.215832782367788,12.0,1.52,1.7892499999999996,0.182214756904946,LP,7.160465587044536,7.481146381578948,6.3402674603174605,3.3561172979563243,3.578976459591384,2.7378470240095005
s1213,2,"('s1213', 2)",2,7.103257910271545,2.828906597720094,4.329,0.892,1.210893617021277,0.1452128960611764,HP,8.054761278195489,6.581668402777778,6.596014964459409,2.8076380758908988,2.6220692321992685,3.01202562425484
