id,consent_date,age,gender,education,handness,language,race,batch
s1209,2/9/22 12:18,67.0,Male,14.0,Right-handed,English,White,2.0
s1210,2/10/22 08:49,43.0,Female,16.0,Right-handed,American English,White,2.0
s1211,2/9/22 13:16,52.0,Male,16.0,Right-handed,English,White,2.0
s1212,2/9/22 16:22,54.0,Male,14.0,Right-handed,English,White,2.0
s1213,2/9/22 15:25,34.0,Female,14.0,Right-handed,English,White,2.0
s1215,2/9/22 16:45,34.0,Male,16.0,Right-handed,English,White,2.0
s1216,2/9/22 16:16,37.0,Female,16.0,Right-handed,English,White,2.0
s1217,2/9/22 15:36,47.0,Male,16.0,Left-handed,Englilsh,Black or African American,2.0
s1218,2/9/22 17:32,49.0,Female,16.0,Right-handed,English,White,2.0
s1219,2/9/22 12:16,67.0,Female,21.0,Right-handed,English,White,2.0
s1220,2/10/22 03:51,31.0,Female,14.0,Right-handed,English,White,2.0
s1221,2/10/22 14:54,35.0,Male,12.0,Right-handed,English,White,2.0
s1222,2/9/22 12:12,50.0,Female,13.0,Right-handed,English,White,2.0
s1223,2/9/22 18:09,35.0,Female,16.0,Right-handed,english,White,2.0
s1224,2/9/22 15:45,34.0,Male,13.0,Left-handed,english,White,2.0
s1225,2/9/22 13:11,42.0,Female,16.0,Right-handed,English,White,2.0
s1227,2/9/22 12:26,44.0,Female,13.0,Right-handed,English,"American Indian or Alaska Native,White",2.0
s1228,2/9/22 15:41,44.0,Female,14.0,Right-handed,English,White,2.0
s1229,2/9/22 19:14,48.0,Male,16.0,Right-handed,English,White,2.0
s1230,2/9/22 16:28,47.0,Male,12.0,Right-handed,english,White,2.0
s1231,2/9/22 17:19,38.0,Female,18.0,Right-handed,English,White,2.0
s1232,2/9/22 16:16,40.0,Male,14.0,Right-handed,English,White,2.0
s1233,2/9/22 13:39,33.0,Male,16.0,Right-handed,english,White,2.0
s1234,2/9/22 13:10,42.0,Female,17.0,Left-handed,English,White,2.0
s1235,2/9/22 17:55,42.0,Male,12.0,Right-handed,English,White,2.0
s1236,2/11/22 06:41,31.0,Female,18.0,Left-handed,English,White,2.0
s1237,2/9/22 12:06,36.0,Male,16.0,Right-handed,english,White,2.0
s1238,2/9/22 17:01,68.0,Male,17.0,Right-handed,English,White,2.0
s1241,2/9/22 14:53,51.0,Female,16.0,Left-handed,English,White,2.0
s1242,2/9/22 16:40,39.0,Female,14.0,Right-handed,English,White,2.0
s1243,2/9/22 19:09,37.0,Male,16.0,Right-handed,English,White,2.0
s1244,2/9/22 16:02,30.0,Female,16.0,Right-handed,English,White,2.0
s1245,2/9/22 21:15,36.0,Female,16.0,Right-handed,english,"Asian,White",2.0
s1246,2/18/22 12:18,60.0,Male,16.0,Right-handed,English,White,2.0
s1247,2/9/22 12:39,32.0,Female,18.0,Right-handed,english,White,2.0
s1249,2/9/22 16:59,35.0,Male,12.0,Right-handed,English,White,2.0
s1251,2/9/22 17:48,34.0,Male,14.0,Right-handed,english,White,2.0
s1252,2/9/22 16:21,70.0,Female,12.0,Right-handed,English,White,2.0
s1253,2/9/22 14:29,28.0,Male,16.0,Right-handed,Chinese,Asian,2.0
s1254,2/10/22 04:27,34.0,Male,12.0,Right-handed,Spanish,White,2.0
s1255,2/9/22 15:57,28.0,Male,13.0,Right-handed,english,White,2.0
s1256,2/9/22 12:18,44.0,Male,16.0,Right-handed,English,White,2.0
s1257,2/9/22 16:00,37.0,Female,16.0,Right-handed,English,White,2.0
s1258,2/9/22 12:03,57.0,Female,20.0,Right-handed,English,White,2.0
s1259,2/9/22 13:52,32.0,Male,16.0,Right-handed,English,White,2.0
s1260,2/9/22 12:54,59.0,Female,14.0,Right-handed,english,White,2.0
s1261,2/9/22 12:06,36.0,Female,14.0,Right-handed,English,White,2.0
s1262,2/14/22 22:05,56.0,Male,14.0,Right-handed,English,White,2.0
s1263,2/9/22 14:49,38.0,Male,16.0,Right-handed,English,White,2.0
s1264,2/10/22 11:04,53.0,Male,18.0,Right-handed,English,White,2.0
s1265,2/9/22 12:04,37.0,Female,16.0,Right-handed,English,White,2.0
s1266,2/9/22 12:59,41.0,Female,14.0,Right-handed,English,"Asian,White",2.0
s1268,2/9/22 12:21,25.0,Male,12.0,Left-handed,English,White,2.0
s1269,2/9/22 12:17,33.0,Male,16.0,Right-handed,English,Other,2.0
s1270,2/11/22 12:33,25.0,Female,16.0,Right-handed,English,White,2.0
s1271,2/10/22 14:31,37.0,Female,16.0,Right-handed,English,Asian,2.0
s1272,2/9/22 13:09,43.0,Female,16.0,Right-handed,English,White,2.0
s1275,2/9/22 14:37,33.0,Male,16.0,Right-handed,English,White,2.0
s1276,2/9/22 19:18,45.0,Male,16.0,Right-handed,English,White,2.0
s1277,2/9/22 15:19,35.0,Male,12.0,Right-handed,English,White,2.0
s1278,2/9/22 14:43,34.0,Female,14.0,Right-handed,English,White,2.0
s1280,2/9/22 12:13,34.0,Male,16.0,Right-handed,English,Asian,2.0
s1281,2/9/22 19:04,30.0,Female,13.0,Left-handed,English,White,2.0
s1282,2/9/22 15:03,51.0,Female,16.0,Right-handed,English,"Black or African American,White",2.0
s1283,2/9/22 18:04,32.0,Male,13.0,Right-handed,English,White,2.0
s1284,2/9/22 13:19,39.0,Male,16.0,Right-handed,English,White,2.0
s1285,2/9/22 12:15,49.0,Female,13.0,Right-handed,English,Asian,2.0
s1286,2/9/22 16:19,40.0,Male,14.0,Right-handed,english,White,2.0
s1287,2/9/22 18:19,47.0,Female,18.0,Right-handed,English,"Asian,White",2.0
s1288,2/9/22 16:49,26.0,Male,16.0,Right-handed,English,Native Hawaiian or Other Pacific Islander,2.0
s1290,2/9/22 15:41,29.0,Male,12.0,Right-handed,English,White,2.0
s1291,2/9/22 15:43,47.0,Male,16.0,Right-handed,ENGLISH,White,2.0
s1293,2/9/22 13:28,48.0,Female,15.0,Right-handed,English,White,2.0
s1295,2/9/22 22:16,32.0,Female,14.0,Right-handed,English,Black or African American,2.0
s1296,2/9/22 14:28,52.0,Female,14.0,Right-handed,English,White,2.0
s1297,2/9/22 16:32,33.0,Male,12.0,Right-handed,English,White,2.0
s1298,2/9/22 12:03,47.0,Male,22.0,Left-handed,English,White,2.0
s1299,2/9/22 23:24,39.0,Male,13.0,Right-handed,English,White,2.0
s1300,2/9/22 12:56,35.0,Male,16.0,Right-handed,English,White,2.0
s1301,2/9/22 17:11,32.0,Male,12.0,Right-handed,English,White,2.0
s1302,2/9/22 12:13,41.0,Male,16.0,Right-handed,English,White,2.0
s1304,2/9/22 12:03,26.0,Male,16.0,Right-handed,English,Black or African American,2.0
s1305,2/12/22 14:04,54.0,Female,12.0,Right-handed,English,White,2.0
,2/2/22 10:41,,,,,,,
,2/8/22 13:04,,,,,,,
