id,duration,NU,PU,PM,PS,SS,UPPS,Attentional,Motor,Nonplanning,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,BIS,PAS,NAS,GMK
s1257,588,12.0,8.0,16.0,12,16.0,64.0,13.0,24.0,14.0,6,7.0,17.0,7,6.0,8,51.0,33.0,20.0,0.04747472235673704
s1258,432,5.0,3.0,18.0,10,3.0,39.0,6.0,17.0,15.0,3,3.0,11.0,6,4.0,11,38.0,31.0,10.0,0.013596308021165874
s1259,480,12.0,12.0,15.0,12,31.0,82.0,10.0,16.0,12.0,4,6.0,12.0,4,5.0,7,38.0,26.0,10.0,0.01856904863971438
s1260,665,1.0,2.0,13.0,8,10.0,34.0,8.0,13.0,6.0,3,5.0,10.0,3,3.0,3,27.0,50.0,10.0,0.2485300860162919
s1261,737,23.0,14.0,30.0,27,20.0,114.0,19.0,24.0,22.0,10,9.0,17.0,7,12.0,10,65.0,14.0,17.0,0.04742951257604449
s1262,898,3.0,0.0,11.0,8,22.0,44.0,7.0,12.0,7.0,3,4.0,8.0,4,3.0,4,26.0,45.0,16.0,0.01345472877351011
s1263,407,8.0,4.0,16.0,11,18.0,57.0,9.0,14.0,17.0,5,4.0,9.0,5,8.0,9,40.0,26.0,14.0,0.013321675743471513
s1264,477,10.0,1.0,12.0,18,5.0,46.0,11.0,20.0,23.0,6,5.0,11.0,9,9.0,14,54.0,23.0,25.0,0.007168669980310297
s1265,317,6.0,1.0,14.0,13,16.0,50.0,9.0,16.0,8.0,5,4.0,9.0,7,5.0,3,33.0,23.0,12.0,0.0008583171571346091
s1266,547,12.0,2.0,13.0,11,12.0,50.0,9.0,17.0,11.0,4,5.0,10.0,7,4.0,7,37.0,33.0,13.0,0.0639373165087494
s1267,464,22.0,22.0,25.0,18,21.0,108.0,14.0,23.0,17.0,8,6.0,17.0,6,7.0,10,54.0,41.0,11.0,
s1268,651,1.0,0.0,15.0,15,3.0,34.0,7.0,13.0,14.0,4,3.0,8.0,5,10.0,4,34.0,38.0,11.0,0.04742951257604449
s1269,685,13.0,13.0,22.0,17,20.0,85.0,14.0,20.0,16.0,8,6.0,13.0,7,9.0,7,50.0,36.0,11.0,0.01345472877351011
s1270,769,21.0,25.0,21.0,14,25.0,106.0,13.0,19.0,13.0,6,7.0,15.0,4,4.0,9,45.0,42.0,20.0,0.2485300860162919
s1271,351,17.0,7.0,22.0,17,9.0,72.0,12.0,16.0,18.0,6,6.0,12.0,4,9.0,9,46.0,25.0,14.0,0.001570816287617923
s1272,570,14.0,4.0,15.0,8,20.0,61.0,10.0,18.0,13.0,4,6.0,11.0,7,8.0,5,41.0,28.0,19.0,0.007168669980310297
s1273,186,20.0,21.0,26.0,25,15.0,107.0,14.0,20.0,15.0,7,7.0,15.0,5,7.0,8,49.0,32.0,16.0,
s1274,333,14.0,8.0,21.0,17,9.0,69.0,17.0,22.0,21.0,9,8.0,14.0,8,11.0,10,60.0,33.0,13.0,0.08657389231210902
s1275,638,3.0,3.0,19.0,12,23.0,60.0,10.0,16.0,18.0,5,5.0,11.0,5,8.0,10,44.0,24.0,10.0,0.0029105428121737557
s1276,854,3.0,0.0,21.0,11,8.0,43.0,8.0,14.0,15.0,4,4.0,9.0,5,6.0,9,37.0,34.0,12.0,0.0029105428121737557
s1277,313,3.0,3.0,12.0,13,11.0,42.0,11.0,16.0,14.0,8,3.0,10.0,6,6.0,8,41.0,36.0,15.0,0.003928030276290973
s1278,423,9.0,4.0,19.0,21,20.0,73.0,12.0,19.0,21.0,7,5.0,14.0,5,7.0,14,52.0,30.0,15.0,0.0021404253958474664
s1279,723,12.0,9.0,14.0,10,24.0,69.0,9.0,18.0,10.0,3,6.0,12.0,6,4.0,6,37.0,31.0,23.0,0.02552782085037716
s1280,515,1.0,0.0,14.0,9,18.0,42.0,8.0,13.0,14.0,5,3.0,10.0,3,5.0,9,35.0,18.0,13.0,0.00015822798419668516
s1281,409,18.0,13.0,13.0,20,3.0,67.0,12.0,16.0,13.0,5,7.0,9.0,7,5.0,8,41.0,19.0,33.0,0.06458455814891413
s1282,518,8.0,1.0,12.0,18,3.0,42.0,10.0,16.0,16.0,5,5.0,10.0,6,9.0,7,42.0,28.0,23.0,0.02552782085037716
s1283,649,31.0,15.0,18.0,17,27.0,108.0,16.0,19.0,17.0,9,7.0,13.0,6,8.0,9,52.0,27.0,13.0,0.01847675990484034
s1284,357,1.0,2.0,19.0,10,10.0,42.0,11.0,18.0,11.0,6,5.0,12.0,6,6.0,5,40.0,28.0,12.0,0.0021404253958474664
s1285,510,11.0,9.0,27.0,15,33.0,95.0,11.0,23.0,18.0,4,7.0,14.0,9,11.0,7,52.0,34.0,10.0,0.03486441659740516
s1286,398,18.0,9.0,18.0,19,17.0,81.0,10.0,20.0,18.0,4,6.0,11.0,9,8.0,10,48.0,20.0,17.0,0.01345472877351011
s1287,502,11.0,2.0,18.0,18,10.0,59.0,11.0,20.0,13.0,8,3.0,15.0,5,7.0,6,44.0,31.0,12.0,0.018788471353486363
s1288,449,23.0,30.0,16.0,28,4.0,101.0,21.0,28.0,26.0,14,7.0,16.0,12,10.0,16,75.0,18.0,22.0,0.100685109217935
s1289,537,8.0,2.0,13.0,16,4.0,43.0,8.0,17.0,18.0,5,3.0,11.0,6,6.0,12,43.0,36.0,13.0,0.2133318184616894
s1290,699,3.0,2.0,19.0,10,16.0,50.0,8.0,20.0,14.0,4,4.0,15.0,5,9.0,5,42.0,39.0,12.0,0.09295589202380003
s1291,515,10.0,10.0,18.0,23,23.0,84.0,16.0,13.0,12.0,11,5.0,9.0,4,7.0,5,41.0,32.0,19.0,0.00025116430867942085
